N,repetition,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
3,17,0.6339869281045751,0.7515621633268692,0.6339869281045752,0.6444441947902156,0.7515621633268691,0.6339869281045751,0.6444441947902156
3,18,0.5947712418300654,0.6604419545596016,0.5947712418300654,0.5857170455558728,0.6604419545596016,0.5947712418300654,0.5857170455558728
3,19,0.6274509803921569,0.678688700360527,0.627450980392157,0.6286453129437006,0.678688700360527,0.6274509803921569,0.6286453129437005
3,20,0.6601307189542484,0.8511344537815126,0.6601307189542484,0.691746323291394,0.8511344537815126,0.6601307189542484,0.691746323291394
3,21,0.6339869281045751,0.720441313780414,0.6339869281045751,0.6452316633567773,0.7204413137804141,0.6339869281045751,0.6452316633567772
3,22,0.6993464052287581,0.7748068924539513,0.6993464052287582,0.7070958336416439,0.7748068924539513,0.6993464052287581,0.7070958336416439
3,23,0.6209150326797386,0.7044195148415097,0.6209150326797386,0.6313659811929708,0.7044195148415098,0.6209150326797386,0.6313659811929707
3,24,0.5947712418300654,0.7117023843030035,0.5947712418300655,0.610614299195614,0.7117023843030035,0.5947712418300654,0.610614299195614
3,25,0.5555555555555556,0.6544524823504062,0.5555555555555557,0.5507602858657651,0.6544524823504062,0.5555555555555556,0.5507602858657651
3,26,0.5163398692810458,0.5879581117197217,0.5163398692810458,0.4994244601186722,0.5879581117197216,0.5163398692810458,0.49942446011867214
3,27,0.6470588235294118,0.7342994015788133,0.6470588235294118,0.6610366958835182,0.7342994015788135,0.6470588235294118,0.6610366958835183
3,28,0.6274509803921569,0.7214903979609862,0.6274509803921569,0.6349737236001716,0.7214903979609862,0.6274509803921569,0.6349737236001717
3,29,0.6013071895424836,0.7365797601091719,0.6013071895424836,0.5988853687265795,0.7365797601091719,0.6013071895424836,0.5988853687265795
6,0,0.6372549019607843,0.671227621483376,0.6372549019607844,0.630624193250968,0.671227621483376,0.6372549019607843,0.6306241932509681
6,1,0.6372549019607843,0.7191526610644259,0.6372549019607844,0.6476448216386297,0.7191526610644258,0.6372549019607843,0.6476448216386298
6,2,0.6666666666666666,0.8205128205128205,0.6666666666666667,0.6973675833969952,0.8205128205128205,0.6666666666666666,0.6973675833969952
6,3,0.6176470588235294,0.6854341736694678,0.6176470588235294,0.6263220439691028,0.6854341736694678,0.6176470588235294,0.6263220439691028
6,4,0.6470588235294118,0.7095560063105701,0.6470588235294118,0.6488668194550548,0.7095560063105701,0.6470588235294118,0.6488668194550548
6,5,0.6176470588235294,0.7226890756302522,0.6176470588235294,0.6262404262404262,0.7226890756302521,0.6176470588235294,0.6262404262404263
6,6,0.6666666666666666,0.7812324929971988,0.6666666666666667,0.6842702856543686,0.7812324929971989,0.6666666666666666,0.6842702856543686
6,7,0.6372549019607843,0.7597572362278244,0.6372549019607844,0.6604330310212663,0.7597572362278244,0.6372549019607843,0.6604330310212664
6,8,0.6666666666666666,0.7427170868347338,0.6666666666666667,0.6806869600987249,0.7427170868347338,0.6666666666666666,0.6806869600987249
6,9,0.6274509803921569,0.7520658263305322,0.6274509803921569,0.6407027441083168,0.7520658263305322,0.6274509803921569,0.6407027441083168
6,10,0.6176470588235294,0.6827030812324929,0.6176470588235295,0.6159050100226571,0.682703081232493,0.6176470588235294,0.615905010022657
6,11,0.5980392156862745,0.6797385620915033,0.5980392156862745,0.6042186571598337,0.6797385620915032,0.5980392156862745,0.6042186571598337
6,12,0.6078431372549019,0.675296589223925,0.607843137254902,0.6099860923390334,0.6752965892239249,0.6078431372549019,0.6099860923390334
6,13,0.5980392156862745,0.6815916110033757,0.5980392156862745,0.5907462678360511,0.6815916110033757,0.5980392156862745,0.5907462678360511
6,14,0.6470588235294118,0.6908496732026145,0.6470588235294118,0.6442067736185383,0.6908496732026143,0.6470588235294118,0.6442067736185383
6,15,0.6568627450980392,0.6999108734402852,0.6568627450980392,0.6510509098744394,0.6999108734402852,0.6568627450980392,0.6510509098744394
6,16,0.6176470588235294,0.7084967320261439,0.6176470588235294,0.6303072744249215,0.7084967320261439,0.6176470588235294,0.6303072744249215
6,17,0.6176470588235294,0.7005027652086476,0.6176470588235294,0.6304367201426024,0.7005027652086475,0.6176470588235294,0.6304367201426025
6,18,0.6470588235294118,0.7241926182237601,0.6470588235294118,0.6586018414662916,0.7241926182237601,0.6470588235294118,0.6586018414662916
6,19,0.6568627450980392,0.6974682180564533,0.6568627450980392,0.6557760866584396,0.6974682180564533,0.6568627450980392,0.6557760866584396
6,20,0.6666666666666666,0.6735644257703081,0.6666666666666666,0.649576567223626,0.6735644257703081,0.6666666666666666,0.649576567223626
6,21,0.6666666666666666,0.6927121725883336,0.6666666666666667,0.6580618401206637,0.6927121725883335,0.6666666666666666,0.6580618401206636
6,22,0.6470588235294118,0.781771170006464,0.6470588235294118,0.6758972709437105,0.781771170006464,0.6470588235294118,0.6758972709437107
6,23,0.6470588235294118,0.7795868347338936,0.6470588235294117,0.6830065359477125,0.7795868347338936,0.6470588235294118,0.6830065359477124
6,24,0.6176470588235294,0.6712651727357609,0.6176470588235294,0.6180440474558121,0.6712651727357609,0.6176470588235294,0.6180440474558121
6,25,0.6372549019607843,0.757703081232493,0.6372549019607844,0.6551037198096021,0.7577030812324931,0.6372549019607843,0.6551037198096021
6,26,0.5882352941176471,0.6980392156862746,0.5882352941176471,0.5993379169849758,0.6980392156862746,0.5882352941176471,0.5993379169849758
6,27,0.6568627450980392,0.7016806722689076,0.6568627450980392,0.6540077377447621,0.7016806722689075,0.6568627450980392,0.654007737744762
6,28,0.6176470588235294,0.7243697478991596,0.6176470588235294,0.6308965544259661,0.7243697478991596,0.6176470588235294,0.6308965544259663
6,29,0.6274509803921569,0.7075909542702712,0.627450980392157,0.6260233204869883,0.7075909542702711,0.6274509803921569,0.6260233204869883
12,0,0.7647058823529411,0.6666666666666666,0.7647058823529411,0.696078431372549,0.6666666666666666,0.7647058823529411,0.696078431372549
12,1,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7254901960784313,0.7058823529411765,0.7647058823529411,0.7254901960784313
12,2,0.7647058823529411,0.7205882352941176,0.7647058823529411,0.7294117647058824,0.7205882352941176,0.7647058823529411,0.7294117647058824
12,3,0.6470588235294118,0.5441176470588235,0.6470588235294118,0.5725490196078431,0.5441176470588235,0.6470588235294118,0.5725490196078431
12,4,0.7058823529411765,0.6294117647058823,0.7058823529411765,0.6470588235294118,0.6294117647058823,0.7058823529411765,0.6470588235294118
12,5,0.7058823529411765,0.6294117647058823,0.7058823529411765,0.6470588235294118,0.6294117647058823,0.7058823529411765,0.6470588235294118
12,6,0.7058823529411765,0.6294117647058823,0.7058823529411765,0.6470588235294117,0.6294117647058823,0.7058823529411765,0.6470588235294117
12,7,0.5882352941176471,0.45588235294117646,0.5882352941176471,0.49411764705882344,0.45588235294117646,0.5882352941176471,0.49411764705882344
12,8,0.5294117647058824,0.4789915966386554,0.5294117647058824,0.4852941176470588,0.4789915966386554,0.5294117647058824,0.4852941176470588
12,9,0.47058823529411764,0.3897058823529412,0.47058823529411764,0.40522875816993464,0.3897058823529412,0.47058823529411764,0.40522875816993464
12,10,0.5294117647058824,0.48235294117647054,0.5294117647058824,0.4901960784313725,0.48235294117647054,0.5294117647058824,0.4901960784313725
12,11,0.47058823529411764,0.38888888888888884,0.47058823529411764,0.403921568627451,0.38888888888888884,0.47058823529411764,0.403921568627451
12,12,0.5882352941176471,0.5411764705882353,0.5882352941176471,0.5490196078431372,0.5411764705882353,0.5882352941176471,0.5490196078431372
12,13,0.6470588235294118,0.6,0.6470588235294118,0.6078431372549019,0.6,0.6470588235294118,0.6078431372549019
12,14,0.7058823529411765,0.6029411764705882,0.7058823529411765,0.6313725490196078,0.6029411764705882,0.7058823529411765,0.6313725490196078
12,15,0.35294117647058826,0.27205882352941174,0.35294117647058826,0.28758169934640526,0.27205882352941174,0.35294117647058826,0.28758169934640526
12,16,0.7058823529411765,0.6588235294117647,0.7058823529411765,0.6666666666666666,0.6588235294117647,0.7058823529411765,0.6666666666666666
12,17,0.47058823529411764,0.36764705882352944,0.47058823529411764,0.39607843137254894,0.36764705882352944,0.47058823529411764,0.39607843137254894
12,18,0.5294117647058824,0.45294117647058824,0.5294117647058824,0.4705882352941176,0.45294117647058824,0.5294117647058824,0.4705882352941176
12,19,0.6470588235294118,0.5147058823529411,0.6470588235294118,0.5529411764705882,0.5147058823529411,0.6470588235294118,0.5529411764705882
12,20,0.5882352941176471,0.5098039215686274,0.5882352941176471,0.5266106442577031,0.5098039215686274,0.5882352941176471,0.5266106442577031
12,21,0.6470588235294118,0.5607843137254902,0.6470588235294118,0.5784313725490196,0.5607843137254902,0.6470588235294118,0.5784313725490196
12,22,0.5882352941176471,0.5098039215686275,0.5882352941176471,0.5266106442577031,0.5098039215686275,0.5882352941176471,0.5266106442577031
12,23,0.6470588235294118,0.5686274509803921,0.6470588235294118,0.5854341736694678,0.5686274509803921,0.6470588235294118,0.5854341736694678
12,24,0.6470588235294118,0.5980392156862745,0.6470588235294118,0.6050420168067226,0.5980392156862745,0.6470588235294118,0.6050420168067226
12,25,0.7058823529411765,0.6323529411764706,0.7058823529411765,0.6509803921568628,0.6323529411764706,0.7058823529411765,0.6509803921568628
12,26,0.47058823529411764,0.39215686274509803,0.47058823529411764,0.40896358543417366,0.39215686274509803,0.47058823529411764,0.40896358543417366
12,27,0.5294117647058824,0.47794117647058826,0.5294117647058824,0.4836601307189542,0.47794117647058826,0.5294117647058824,0.4836601307189542
12,28,0.7058823529411765,0.6029411764705882,0.7058823529411765,0.6313725490196078,0.6029411764705882,0.7058823529411765,0.6313725490196078
12,29,0.6470588235294118,0.5490196078431372,0.6470588235294118,0.5784313725490196,0.5490196078431372,0.6470588235294118,0.5784313725490196
